datetime,Consumer_0_electric (kW)
2018-05-16T13:30:00Z,0.37849
2018-05-16T13:45:00Z,0.416299
2018-05-16T14:00:00Z,0.374136
2018-05-16T14:15:00Z,0.309741
2018-05-16T14:30:00Z,0.294806
2018-05-16T14:45:00Z,0.298009
2018-05-16T15:00:00Z,0.301072
2018-05-16T15:15:00Z,0.294667
2018-05-16T15:30:00Z,0.313771
2018-05-16T15:45:00Z,0.31828
2018-05-16T16:00:00Z,0.432838
2018-05-16T16:15:00Z,0.397969
2018-05-16T16:30:00Z,0.309262
2018-05-16T16:45:00Z,1.426644
2018-05-16T17:00:00Z,1.518946
2018-05-16T17:15:00Z,0.387644
2018-05-16T17:30:00Z,0.35907
2018-05-16T17:45:00Z,0.345323
2018-05-16T18:00:00Z,0.347578
2018-05-16T18:15:00Z,0.375185
2018-05-16T18:30:00Z,0.373652
2018-05-16T18:45:00Z,0.323887
2018-05-16T19:00:00Z,0.310749
2018-05-16T19:15:00Z,0.391041
2018-05-16T19:30:00Z,0.46885
2018-05-16T19:45:00Z,0.302835
2018-05-16T20:00:00Z,0.233485
2018-05-16T20:15:00Z,0.211496
2018-05-16T20:30:00Z,0.20451
2018-05-16T20:45:00Z,0.231088
2018-05-16T21:00:00Z,0.235983
2018-05-16T21:15:00Z,0.188303
2018-05-16T21:30:00Z,0.124448
2018-05-16T21:45:00Z,0.236435
2018-05-16T22:00:00Z,0.196762
2018-05-16T22:15:00Z,0.153382
2018-05-16T22:30:00Z,0.184113
2018-05-16T22:45:00Z,0.179842
2018-05-16T23:00:00Z,0.18114
2018-05-16T23:15:00Z,0.158895
2018-05-16T23:30:00Z,0.221682
2018-05-16T23:45:00Z,0.234042
2018-05-17T00:00:00Z,0.244785
2018-05-17T00:15:00Z,0.21483
2018-05-17T00:30:00Z,0.165069
2018-05-17T00:45:00Z,0.209286
2018-05-17T01:00:00Z,0.220135
2018-05-17T01:15:00Z,0.248674
2018-05-17T01:30:00Z,0.249819
2018-05-17T01:45:00Z,0.235745
2018-05-17T02:00:00Z,0.219179
2018-05-17T02:15:00Z,0.219262
2018-05-17T02:30:00Z,0.233161
2018-05-17T02:45:00Z,0.16829
2018-05-17T03:00:00Z,0.157692
2018-05-17T03:15:00Z,0.137584
2018-05-17T03:30:00Z,0.125698
2018-05-17T03:45:00Z,0.147787
2018-05-17T04:00:00Z,0.248186
2018-05-17T04:15:00Z,0.436742
2018-05-17T04:30:00Z,0.808272
2018-05-17T04:45:00Z,0.422971
2018-05-17T05:00:00Z,0.318499
2018-05-17T05:15:00Z,0.280912
2018-05-17T05:30:00Z,0.26596
2018-05-17T05:45:00Z,0.174523
2018-05-17T06:00:00Z,0.200295
2018-05-17T06:15:00Z,0.25684
2018-05-17T06:30:00Z,0.278075
2018-05-17T06:45:00Z,0.276564
2018-05-17T07:00:00Z,0.251259
2018-05-17T07:15:00Z,0.249575
2018-05-17T07:30:00Z,0.25776
2018-05-17T07:45:00Z,0.280874
2018-05-17T08:00:00Z,0.280523
2018-05-17T08:15:00Z,0.258197
2018-05-17T08:30:00Z,0.24844
2018-05-17T08:45:00Z,0.250884
2018-05-17T09:00:00Z,0.281317
2018-05-17T09:15:00Z,0.280387
2018-05-17T09:30:00Z,0.222913
2018-05-17T09:45:00Z,0.169561
2018-05-17T10:00:00Z,0.168721
2018-05-17T10:15:00Z,0.198229
2018-05-17T10:30:00Z,0.220328
2018-05-17T10:45:00Z,0.284329
2018-05-17T11:00:00Z,0.275933
2018-05-17T11:15:00Z,0.250826
2018-05-17T11:30:00Z,0.277259
2018-05-17T11:45:00Z,0.296113
2018-05-17T12:00:00Z,0.277151
2018-05-17T12:15:00Z,0.253766
2018-05-17T12:30:00Z,0.250631
2018-05-17T12:45:00Z,0.275768
2018-05-17T13:00:00Z,0.280511
2018-05-17T13:15:00Z,0.268387
2018-05-17T13:30:00Z,0.248576
2018-05-17T13:45:00Z,0.248093
2018-05-17T14:00:00Z,0.269414
2018-05-17T14:15:00Z,0.279752
2018-05-17T14:30:00Z,0.307124
2018-05-17T14:45:00Z,0.240119
2018-05-17T15:00:00Z,0.258727
2018-05-17T15:15:00Z,0.276353
2018-05-17T15:30:00Z,0.289762
2018-05-17T15:45:00Z,0.284883
2018-05-17T16:00:00Z,0.257707
2018-05-17T16:15:00Z,0.503478
2018-05-17T16:30:00Z,0.586505
2018-05-17T16:45:00Z,0.403789
2018-05-17T17:00:00Z,0.39261
2018-05-17T17:15:00Z,0.350317
2018-05-17T17:30:00Z,0.416271
2018-05-17T17:45:00Z,0.36465
2018-05-17T18:00:00Z,0.345113
2018-05-17T18:15:00Z,0.26256
2018-05-17T18:30:00Z,0.640914
2018-05-17T18:45:00Z,0.531128
2018-05-17T19:00:00Z,0.610366
2018-05-17T19:15:00Z,0.586636
2018-05-17T19:30:00Z,0.355655
2018-05-17T19:45:00Z,0.297791
2018-05-17T20:00:00Z,0.293635
2018-05-17T20:15:00Z,0.257365
2018-05-17T20:30:00Z,0.249639
2018-05-17T20:45:00Z,0.247429
2018-05-17T21:00:00Z,0.22845
2018-05-17T21:15:00Z,0.209819
2018-05-17T21:30:00Z,0.20847
2018-05-17T21:45:00Z,0.23305
2018-05-17T22:00:00Z,0.239178
2018-05-17T22:15:00Z,0.227347
2018-05-17T22:30:00Z,0.207772
2018-05-17T22:45:00Z,0.20655
2018-05-17T23:00:00Z,0.231002
2018-05-17T23:15:00Z,0.237575
2018-05-17T23:30:00Z,0.232215
2018-05-17T23:45:00Z,0.206301
2018-05-18T00:00:00Z,0.206215
2018-05-18T00:15:00Z,0.219329
2018-05-18T00:30:00Z,0.215706
2018-05-18T00:45:00Z,0.181638
2018-05-18T01:00:00Z,0.21863
2018-05-18T01:15:00Z,0.215715
2018-05-18T01:30:00Z,0.224037
2018-05-18T01:45:00Z,0.214135
2018-05-18T02:00:00Z,0.168259
2018-05-18T02:15:00Z,0.146906
2018-05-18T02:30:00Z,0.136564
2018-05-18T02:45:00Z,0.138032
2018-05-18T03:00:00Z,0.169336
2018-05-18T03:15:00Z,0.168483
2018-05-18T03:30:00Z,0.13731
2018-05-18T03:45:00Z,0.168403
2018-05-18T04:00:00Z,0.433892
2018-05-18T04:15:00Z,0.519717
2018-05-18T04:30:00Z,0.557889
2018-05-18T04:45:00Z,0.80155
2018-05-18T05:00:00Z,0.534841
2018-05-18T05:15:00Z,0.298062
