datetime,Consumer_0_electric (kW)
2024-01-01T00:00:00Z,0.229724
2024-01-01T00:15:00Z,0.216519
2024-01-01T00:30:00Z,0.145642
2024-01-01T00:45:00Z,0.115215
2024-01-01T01:00:00Z,0.185147
2024-01-01T01:15:00Z,0.19617
2024-01-01T01:30:00Z,0.225251
2024-01-01T01:45:00Z,0.319868
2024-01-01T02:00:00Z,0.302702
2024-01-01T02:15:00Z,0.294747
2024-01-01T02:30:00Z,0.251257
2024-01-01T02:45:00Z,0.217061
2024-01-01T03:00:00Z,0.223262
2024-01-01T03:15:00Z,0.215101
2024-01-01T03:30:00Z,0.348928
2024-01-01T03:45:00Z,0.172581
2024-01-01T04:00:00Z,0.146259
2024-01-01T04:15:00Z,0.264258
2024-01-01T04:30:00Z,0.342619
2024-01-01T04:45:00Z,0.319993
2024-01-01T05:00:00Z,0.279491
2024-01-01T05:15:00Z,0.23385
2024-01-01T05:30:00Z,0.199732
2024-01-01T05:45:00Z,0.220878
2024-01-01T06:00:00Z,0.219359
2024-01-01T06:15:00Z,0.201709
2024-01-01T06:30:00Z,0.188584
2024-01-01T06:45:00Z,0.192347
2024-01-01T07:00:00Z,0.252855
2024-01-01T07:15:00Z,0.295944
2024-01-01T07:30:00Z,0.29003
2024-01-01T07:45:00Z,0.28009
2024-01-01T08:00:00Z,0.279894
2024-01-01T08:15:00Z,0.254909
2024-01-01T08:30:00Z,0.339774
2024-01-01T08:45:00Z,0.497347
2024-01-01T09:00:00Z,0.469406
2024-01-01T09:15:00Z,0.439996
2024-01-01T09:30:00Z,0.435491
2024-01-01T09:45:00Z,0.50221
2024-01-01T10:00:00Z,0.415972
2024-01-01T10:15:00Z,0.385228
2024-01-01T10:30:00Z,0.340626
2024-01-01T10:45:00Z,0.336798
2024-01-01T11:00:00Z,0.281997
2024-01-01T11:15:00Z,0.313423
2024-01-01T11:30:00Z,0.346263
2024-01-01T11:45:00Z,0.340216
2024-01-01T12:00:00Z,0.304819
2024-01-01T12:15:00Z,0.265907
2024-01-01T12:30:00Z,0.223036
2024-01-01T12:45:00Z,0.249045
2024-01-01T13:00:00Z,0.248598
2024-01-01T13:15:00Z,0.28061
2024-01-01T13:30:00Z,0.301122
2024-01-01T13:45:00Z,0.325907
2024-01-01T14:00:00Z,0.476314
2024-01-01T14:15:00Z,0.473468
2024-01-01T14:30:00Z,0.458382
2024-01-01T14:45:00Z,0.605538
2024-01-01T15:00:00Z,0.738307
2024-01-01T15:15:00Z,0.804123
2024-01-01T15:30:00Z,0.859726
2024-01-01T15:45:00Z,0.881186
2024-01-01T16:00:00Z,0.811221
2024-01-01T16:15:00Z,2.232075
2024-01-01T16:30:00Z,1.507063
2024-01-01T16:45:00Z,0.756677
2024-01-01T17:00:00Z,0.593822
2024-01-01T17:15:00Z,0.351615
2024-01-01T17:30:00Z,0.313242
2024-01-01T17:45:00Z,0.319324
2024-01-01T18:00:00Z,0.420852
2024-01-01T18:15:00Z,0.422492
2024-01-01T18:30:00Z,0.476257
2024-01-01T18:45:00Z,0.796254
2024-01-01T19:00:00Z,0.472576
2024-01-01T19:15:00Z,0.507348
2024-01-01T19:30:00Z,0.51926
2024-01-01T19:45:00Z,0.545793
2024-01-01T20:00:00Z,0.582849
2024-01-01T20:15:00Z,0.553724
2024-01-01T20:30:00Z,0.551344
2024-01-01T20:45:00Z,0.525961
2024-01-01T21:00:00Z,0.487174
2024-01-01T21:15:00Z,0.483834
2024-01-01T21:30:00Z,0.455818
2024-01-01T21:45:00Z,0.453812
2024-01-01T22:00:00Z,0.511045
2024-01-01T22:15:00Z,0.488277
2024-01-01T22:30:00Z,0.546682
2024-01-01T22:45:00Z,0.512521
2024-01-01T23:00:00Z,0.40576
2024-01-01T23:15:00Z,0.40576
2024-01-01T23:30:00Z,0.40576
2024-01-01T23:45:00Z,0.40576
2024-01-02T00:00:00Z,0.291351
2024-01-02T00:15:00Z,0.168623
2024-01-02T00:30:00Z,0.170529
2024-01-02T00:45:00Z,0.187665
2024-01-02T01:00:00Z,0.148502
2024-01-02T01:15:00Z,0.18868
2024-01-02T01:30:00Z,0.229954
2024-01-02T01:45:00Z,0.26152
2024-01-02T02:00:00Z,0.26385
2024-01-02T02:15:00Z,0.223101
2024-01-02T02:30:00Z,0.198864
2024-01-02T02:45:00Z,0.172297
2024-01-02T03:00:00Z,0.193609
2024-01-02T03:15:00Z,0.188428
2024-01-02T03:30:00Z,0.197865
2024-01-02T03:45:00Z,0.199887
2024-01-02T04:00:00Z,0.269845
2024-01-02T04:15:00Z,0.280355
2024-01-02T04:30:00Z,0.284375
2024-01-02T04:45:00Z,0.299288
2024-01-02T05:00:00Z,0.231721
2024-01-02T05:15:00Z,0.215675
2024-01-02T05:30:00Z,0.198131
2024-01-02T05:45:00Z,0.160553
2024-01-02T06:00:00Z,0.112769
2024-01-02T06:15:00Z,0.142348
2024-01-02T06:30:00Z,0.22608
2024-01-02T06:45:00Z,0.27187
2024-01-02T07:00:00Z,0.267554
2024-01-02T07:15:00Z,0.258712
2024-01-02T07:30:00Z,0.265552
2024-01-02T07:45:00Z,0.217058
2024-01-02T08:00:00Z,0.278512
2024-01-02T08:15:00Z,1.067352
2024-01-02T08:30:00Z,0.855208
2024-01-02T08:45:00Z,0.42245
2024-01-02T09:00:00Z,0.350926
2024-01-02T09:15:00Z,0.483263
2024-01-02T09:30:00Z,0.959177
2024-01-02T09:45:00Z,1.229054
2024-01-02T10:00:00Z,0.453125
2024-01-02T10:15:00Z,0.585296
2024-01-02T10:30:00Z,2.57315
2024-01-02T10:45:00Z,0.406772
2024-01-02T11:00:00Z,0.347188
2024-01-02T11:15:00Z,0.341195
2024-01-02T11:30:00Z,0.363775
2024-01-02T11:45:00Z,0.35937
2024-01-02T12:00:00Z,0.32343
2024-01-02T12:15:00Z,0.700655
2024-01-02T12:30:00Z,0.412667
2024-01-02T12:45:00Z,0.38511
2024-01-02T13:00:00Z,0.413137
2024-01-02T13:15:00Z,0.433274
2024-01-02T13:30:00Z,0.574488
2024-01-02T13:45:00Z,0.504907
2024-01-02T14:00:00Z,0.408004
2024-01-02T14:15:00Z,0.581805
2024-01-02T14:30:00Z,0.540219
2024-01-02T14:45:00Z,0.514342
2024-01-02T15:00:00Z,0.428728
2024-01-02T15:15:00Z,0.430186
2024-01-02T15:30:00Z,0.571288
2024-01-02T15:45:00Z,0.640408
2024-01-02T16:00:00Z,0.429583
2024-01-02T16:15:00Z,0.980124
2024-01-02T16:30:00Z,0.470519
2024-01-02T16:45:00Z,0.50646
2024-01-02T17:00:00Z,0.521359
2024-01-02T17:15:00Z,0.638438
2024-01-02T17:30:00Z,0.47466
2024-01-02T17:45:00Z,0.456879
2024-01-02T18:00:00Z,0.440386
2024-01-02T18:15:00Z,0.382506
2024-01-02T18:30:00Z,0.392263
2024-01-02T18:45:00Z,0.3878
2024-01-02T19:00:00Z,0.421451
2024-01-02T19:15:00Z,0.452704
2024-01-02T19:30:00Z,0.208435
2024-01-02T19:45:00Z,0.268721
2024-01-02T20:00:00Z,0.301284
2024-01-02T20:15:00Z,0.276191
2024-01-02T20:30:00Z,0.260676
2024-01-02T20:45:00Z,0.259616
2024-01-02T21:00:00Z,0.208781
2024-01-02T21:15:00Z,0.201672
2024-01-02T21:30:00Z,0.176425
2024-01-02T21:45:00Z,0.173499
2024-01-02T22:00:00Z,0.17018
2024-01-02T22:15:00Z,0.198502
2024-01-02T22:30:00Z,0.250255
2024-01-02T22:45:00Z,0.284489
2024-01-02T23:00:00Z,0.263542
2024-01-02T23:15:00Z,0.254722
2024-01-02T23:30:00Z,0.214557
2024-01-02T23:45:00Z,0.199006
2024-01-03T00:00:00Z,0.175781
2024-01-03T00:15:00Z,0.089054
2024-01-03T00:30:00Z,0.107741
2024-01-03T00:45:00Z,0.17474
2024-01-03T01:00:00Z,0.209858
2024-01-03T01:15:00Z,0.298215
2024-01-03T01:30:00Z,0.270871
2024-01-03T01:45:00Z,0.263547
2024-01-03T02:00:00Z,0.24984
2024-01-03T02:15:00Z,0.197303
2024-01-03T02:30:00Z,0.201017
2024-01-03T02:45:00Z,0.184989
2024-01-03T03:00:00Z,0.169186
2024-01-03T03:15:00Z,0.169961
2024-01-03T03:30:00Z,0.18666
2024-01-03T03:45:00Z,0.251253
2024-01-03T04:00:00Z,0.354317
2024-01-03T04:15:00Z,0.467523
2024-01-03T04:30:00Z,0.481432
2024-01-03T04:45:00Z,0.478861
2024-01-03T05:00:00Z,0.460625
2024-01-03T05:15:00Z,0.814888
2024-01-03T05:30:00Z,0.553109
2024-01-03T05:45:00Z,0.348449
2024-01-03T06:00:00Z,0.205146
2024-01-03T06:15:00Z,0.25106
2024-01-03T06:30:00Z,0.422463
2024-01-03T06:45:00Z,1.013436
2024-01-03T07:00:00Z,0.798172
2024-01-03T07:15:00Z,0.342718
2024-01-03T07:30:00Z,0.172164
2024-01-03T07:45:00Z,0.227137
2024-01-03T08:00:00Z,0.233007
2024-01-03T08:15:00Z,0.219052
2024-01-03T08:30:00Z,0.20452
2024-01-03T08:45:00Z,0.211216
2024-01-03T09:00:00Z,0.319452
2024-01-03T09:15:00Z,0.333549
2024-01-03T09:30:00Z,0.321958
2024-01-03T09:45:00Z,0.288713
2024-01-03T10:00:00Z,0.203795
2024-01-03T10:15:00Z,0.210828
2024-01-03T10:30:00Z,0.232948
2024-01-03T10:45:00Z,0.235038
2024-01-03T11:00:00Z,0.206515
2024-01-03T11:15:00Z,0.194982
2024-01-03T11:30:00Z,0.24689
2024-01-03T11:45:00Z,0.325533
2024-01-03T12:00:00Z,0.315136
2024-01-03T12:15:00Z,0.284309
2024-01-03T12:30:00Z,0.267739
2024-01-03T12:45:00Z,0.202202
2024-01-03T13:00:00Z,0.193916
2024-01-03T13:15:00Z,0.211042
2024-01-03T13:30:00Z,0.271987
2024-01-03T13:45:00Z,0.291864
2024-01-03T14:00:00Z,0.291229
2024-01-03T14:15:00Z,0.322074
